Entity,Year,Electricity Generation (TWh),Electricity Source
Australia,2000,181.05,Fossil Fuels
Australia,2001,194.33,Fossil Fuels
Australia,2002,197.29,Fossil Fuels
Australia,2003,195.13,Fossil Fuels
Australia,2004,203.66,Fossil Fuels
Australia,2005,195.95,Fossil Fuels
Australia,2006,198.72,Fossil Fuels
Australia,2007,208.59,Fossil Fuels
Australia,2008,211.06,Fossil Fuels
Australia,2009,216.42,Fossil Fuels
Australia,2010,212.5,Fossil Fuels
Australia,2011,213.56,Fossil Fuels
Australia,2012,206.75,Fossil Fuels
Australia,2013,195.78,Fossil Fuels
Australia,2014,205.46,Fossil Fuels
Australia,2015,197.72,Fossil Fuels
Australia,2016,207.66,Fossil Fuels
Australia,2017,209.14,Fossil Fuels
Australia,2018,207.45,Fossil Fuels
Australia,2019,196.45,Fossil Fuels
Australia,2020,186.92,Renewables
Australia,2000,17.11,Renewables
Australia,2001,17.4,Renewables
Australia,2002,17.35,Renewables
Australia,2003,18.5,Renewables
Australia,2004,19.41,Renewables
Australia,2005,19.75,Renewables
Australia,2006,21.19,Renewables
Australia,2007,20.93,Renewables
Australia,2008,18.49,Renewables
Australia,2009,18.32,Renewables
Australia,2010,21.13,Renewables
Australia,2011,27.33,Renewables
Australia,2012,26.63,Renewables
Australia,2013,34.2,Renewables
Australia,2014,36.15,Renewables
Australia,2015,33.12,Renewables
Australia,2016,38.41,Renewables
Australia,2017,40.77,Renewables
Australia,2018,42.93,Renewables
Australia,2019,53.41,Renewables
Australia,2020,63.99,Renewables
